"idea","description","tag","category"
"build a blanket fort and watch a favourite <em>childhood</em> movie.","Every cushion. Every sheet. Inside the fort, no phones, only old movies, snacks, and silly nonsense.","indoor & cosy","inperson"
"a five-pound market <em>challenge</em>.","Five pounds each, twenty minutes. The catch: we have to make dinner from whatever the other person brings home. Inventiveness rewarded.","creative & edible","inperson"
"take a pottery class and keep the <em>ugly</em> mug forever.","We will not be good at it. That's the point. The shittiest one is the one we keep — it'll be the best mug we own in five years.","creative & hands-on","inperson"
"cook a meal from a country neither of us has <em>visited</em>.","Three courses, the right music, and let's be real — probably only one course. Pretend we're somewhere else for the evening.","creative & edible","inperson"
"wander a cultural event in the <em>evening</em>.","Lots of places host late-night things sometimes — wine, weird lighting, far fewer children. Wear something nice. Make up backstories for the strangers.","cultural & date-night","inperson"
"be a <em>tourist</em> in our own city.","Pick like three attractions we've never bothered with. Buy a tacky souvenir. Take photos like we've never been here. We haven't, really.","local & playful","inperson"
"picnic in a nice garden and read <em>aloud</em>.","Bring a book — the sillier or cooler the better. Get the picky bits. Trade off chapters until the sun moves.","outdoor & quiet","inperson"
"find an arcade and host a <em>tournament</em>.","Loser buys dessert. Skee-ball is a serious sport here. Air hockey is allowed but only with full commitment.","indoor & competitive","inperson"
"set an absurd alarm and watch the <em>sunrise</em>.","Brew coffee (and hot chocolate) in a thermos. Go to the highest point we can reach. Sit there until the sky changes colour.","outdoor & early","inperson"
"bake a pie and <em>deliver</em> it to a friend.","No need to warn them. The pie doesn't have to be good. The visit will be.","indoor & generous","inperson"
"charity-shop outfit swap, ten pounds <em>each</em>.","Thirty minutes, ten pounds, one shop. Dress each other for an imaginary occasion. The more specific the imagined occasion, the better the outfit.","local & playful","inperson"
"find an outdoor <em>cinema</em>.","There is one, somewhere, within reacheable distance. Probably. Bring snacks they would never sell at any concession stand.","outdoor & date-night","inperson"
"take a couples' dance class — pick the one that <em>scares</em> you.","Salsa, swing, tango. One lesson is enough to make you laugh at me for the rest of the evening. Two and we might actually like it.","active & romantic","inperson"
"day trip to the town with the <em>funniest</em> name.","Look at a map. Pick the town with the silliest name within an hour. Go there. Eat at the chippy. Look at the church. Leave.","outdoor & adventurous","inperson"
"find a poetry reading or open mic and <em>go</em>.","Whisper our reactions only when no one is looking. Buy a drink. Stay for the whole thing — the last reader is always the most interesting.","cultural & quiet","inperson"
"hunt the charity shop for the <em>strangest</em> object.","Five pounds max, twenty minutes on the clock. Buy each other something useless and beautiful. Display it proudly. Forever.","local & creative","inperson"
"project a film onto our <em>ceiling</em>.","Sheet, projector, an extension cord that's testing its limits. Mindless entertainment is the only correct answer. Snacks compulsory.","outdoor & cosy","inperson"
"empty karaoke room, the <em>earlier</em> the better.","Three in the afternoon on a Tuesday. The room is ours. Sing badly, sing loudly, sing every song you ever loved at fourteen.","indoor & brave","inperson"
"a nice walk, a <em>nice</em> podcast.","Decide on a trail. Pick a podcast we've both been meaning to start. Walk until the episode ends. Stop where we stand. Find food.","outdoor & easy","inperson"
"synchronised film night — press play on <em>three</em>.","Text reactions throughout. Pretend we're sitting on the same couch. Pause for snacks at the same time.","cosy & easy","virtual"
"same recipe, two <em>kitchens</em>, also two cameras.","Pick a recipe neither of us has tried. Cook it in parallel over video call. Critique generously. Eat together when it's all done.","creative & edible","virtual"
"a co-op video game made for <em>two</em>.","It Takes Two and Stardew Valley were built for this. Overcooked, if we want to test our relationship. Choose wisely.","playful & long","virtual"
"tour a <em>museum</em> from our couches.","The Louvre, the Met, the Smithsonian — all free, all online. The more niche the museum, the better.","cultural & free","virtual"
